asin,main_category,category,description,brand,imageURLHighRes
B00007B1JU,Entertainment Pop Culture, Entertainment Pop Culture,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/61Ju%2BRCVbwL.jpg
B00007B1AI,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,Contains information about cars and driving and includes road tests on enthusiast cars and features on automotive subjects humor and fiction industry trends travel books and racing events ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61D7nnVCfDL.jpg
B00007AXX3,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Equestrian,In every issue of Horse Rider youll find articles on training by the countrys leading experts the latest on equine health care from top veterinarians trail riding tips from savvy back country riders and much more!,Active Interest Media,https://images-na.ssl-images-amazon.com/images/I/51lTK66ZZNL.jpg
B00007AZRH,Home Garden, Home Garden Gardening Horticulture,This is a country lifestyle service magazine focused on do it yourself living personal achievement outdoor recreation thrift and the blending of the old fashioned with modern ingenuity Its articles cover equipment tools gardening health and home remedies home building and repair fishing natural food and cooking products recycling country lore and small scale farming ,Ogden Publications Inc,https://images-na.ssl-images-amazon.com/images/I/51GZPPq4veL.jpg
B00007B1I4,Professional Educational Journals, Professional Educational Journals Professional Trade Arts Photography,Information and buying source for serious photographers Each issue is filled with articles on photo equipment and techniques ,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/51BmIm8misL.jpg
B00007B2BM,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Individual Sports,The largest monthly skateboarding magazine Transworld Skateboarding is designed to spread the culture of skateboarding Each issue is filled with inside coverage of events personalities equipment and techniques ,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/51WT83Z5XWL.jpg
B00007B2KN,Professional Educational Journals, Professional Educational Journals Professional Trade Science Technology Biological Natural Sciences,Wildfowl Magazine is the best magazine out there for the serious goose and duck hunters Loaded with useful information on guns amp loads decoys amp calls boats amp blinds retriever training gear amp gadgets Canadian reports and conservation Join us in the blind each issue!,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/51J8n1FwJNL.jpg
B00007B9K5,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,no description,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/61pYs3Wrp9L.jpg
B00007B9HN,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,All out off road Jeep action! Expert 4X4 trail tips rig overhauls engine body how tos race news!,The Enthusiast Network,https://images-na.ssl-images-amazon.com/images/I/61yb5OT2rjL.jpg
B00007BK3L,News Political Commentary, News Political Commentary Ideas Commentary,TIME reveals what todays headlines mean to you and your family from politics to science to human achievement arts business and society ,Meredith Corporation,https://images-na.ssl-images-amazon.com/images/I/51OXRDx-2nL.jpg
B00007BK3P,Travel City Regional, Travel City Regional United States South,A national magazine of literature and discussion Its interests include literature politics foreign affairs history sports art and science ,Virginia Quarterly Review,https://images-na.ssl-images-amazon.com/images/I/51r1ScXvFNL.jpg
B00007DB5R,Travel City Regional, Travel City Regional United States West,Travel history and recreation information on the Oregon coast has several photographs in each issue ,Oregon Coast Mag,https://images-na.ssl-images-amazon.com/images/I/51rM8WXEJDL.jpg
B00007EOY6,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,In depth feature articles based on new research by Irelands leading historians Every period of Irish history is brought to life with a broad range of topics in every issue Each article is illustrated with maps paintings engravings or photographs to give a vivid impression of the times ,Wordwell Ltd,https://images-na.ssl-images-amazon.com/images/I/51JHGH2C40L.jpg
B00007EO1M,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Flying,This monthly magazine covers all kinds of scale model aircraft from state of the art radio control through control line to free flight and even indoor Its full of information on scale modelling techniques all in full colour throughout ,Doolittle Media Ltd,https://images-na.ssl-images-amazon.com/images/I/51NIt5NSCNL.jpg
B00007G2X5,Entertainment Pop Culture, Entertainment Pop Culture Celebrities Gossip,This is a weekly news magazine featuring an inside look at celebrity news and lifestyles Every week in addition to feature articles it includes horoscopes puzzles advice and the latest in celebrity fashions ,American Media Inc.,https://images-na.ssl-images-amazon.com/images/I/61D6E05TF4L.jpg
B00007G2PP,Professional Educational Journals, Professional Educational Journals Professional Trade Education,Journal of Consciousness Studies is a peer reviewed journal which examines issues and ideas related to cognitive science neurophysiology and philosophy ,Imprint Academic,https://images-na.ssl-images-amazon.com/images/I/418LsxmpIkL.jpg
B00007GAK1,Business Investing, Business Investing Entrepreneurship,Inc is the only major business magazine edited exclusively to guide CEOs and owners of small to midsize companies to success Inc provides fresh insightful anaylyses to give the major players in the business world the tools they need to excel Each issue written by managerial gurus and experts utilizes real life examples of strategies case studies and successes and failures edited specifically to illuminate new ways in which its readers can benfit Big and small organizations alike turn to Inc to make sense of ever changing business world ,Mansueto Ventures LLC,https://images-na.ssl-images-amazon.com/images/I/51w4tC5hloL.jpg
B00007HZ5J,Crafts Hobbies, Crafts Hobbies Needlecrafts,Inspirations features the work of top needlework smocking and sewing designers from Australia and around the world complete with embroidery keys full size patterns illustrations and step by step directions for completing projects at home ,Inspirations Publications,https://images-na.ssl-images-amazon.com/images/I/513NX6V1VBL.jpg
B00007HY1D,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences,An interdisciplinary journal of public policy analysis written for scholars ,Cato Institute,https://images-na.ssl-images-amazon.com/images/I/512JwVF4dYL.jpg
B00007IJZT,Fashion Style, Fashion Style Women,InStyle celebrates the private side of public faces revealing the personal style choices of the worlds most fascinating people An insiders guide to trends in beauty fashion home entertaining and charities InStyle is a trusted source for inspiration and ideas ,Meredith Corporation,https://images-na.ssl-images-amazon.com/images/I/51gv7meL1JL.jpg
B00007J6M4,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,BellItalia is more than just a travel magazine It was created for people who are passionate about Italy and all things Italian who are interested in detailed information about the countrys art architecture history culture food and wine ,Cairo Editore Spa,https://images-na.ssl-images-amazon.com/images/I/51Z2V43PVKL.jpg
B00007J6MU,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Football,Authority on Notre Dame Fighting Irish football Issues offer complete game coverage and analysis recruiting profiles of players and coaches and some coverage of other Notre Dame teams ,Coman Publishing Co,https://images-na.ssl-images-amazon.com/images/I/51z%2BGKRYe-L.jpg
B00007J71S,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences,Cultural Survival Quarterly is the only magazine that is dedicated to the world s Indigenous Peoples With stunning photography and insightful writing each issue takes you inside native cultures with an intimacy and depth that no other publication can match ,Cultural Survival Inc,https://images-na.ssl-images-amazon.com/images/I/51fCVyg%2BToL.jpg
B00007J85I,Professional Educational Journals, Professional Educational Journals Professional Trade Arts Architecture,Presents Latinoamerican architectural examples with commentaries photographs and plans ,Donn Sa,https://images-na.ssl-images-amazon.com/images/I/51M4ES3QGTL.jpg
B00007J6Y1,Travel City Regional, Travel City Regional,iCond Nast Traveller i is a British magazine for people with a passion for travel adventure culture and new ideas Issues include independent travel articles on breathtaking locations around the world along with stunning photography and travel tips ,Conde Nast Publications Ltd,https://images-na.ssl-images-amazon.com/images/I/41fRyyY3WcL.jpg
B00007JXDF,Fashion Style, Fashion Style Beauty,Written for professionals in the salon industry Nails covers all aspects of the business including how to open and run a spa how to report tips career advice safe and effective manicure and pedicure techniques and recommendations for choosing the right cosmetics ,Bobit Business Media,https://images-na.ssl-images-amazon.com/images/I/51DVy2rNcKL.jpg
B00007KGL4,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Extreme Sports,ibCavallino The Journal of Ferrari History b i is the oldest largest most complete and most respected Ferrari publication in the world bringing you the best on Ferrari 6 times a year All aspects of the legendary Ferrari marque are covered with authority accuracy and quality including br br ,Cavallino Inc.,https://images-na.ssl-images-amazon.com/images/I/51pJjlMTvRL.jpg
B00007KGVC,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Religion Spirituality,We feature articles and stories by the worlds best known and experienced Reiki masters and practitioners Catering to both the beginner and the seasoned practitioner we feature the latest information on every aspect of Reiki healing ,Vision Publications,https://images-na.ssl-images-amazon.com/images/I/518MnG4GszL.jpg
B00007KXVO,Professional Educational Journals, Professional Educational Journals Professional Trade Education,Learn more about the teachings of the Catholic Faith in the lively colorful amp easy to read format of the Catholic Answer The magazine brings orthodox pastoral responses to questions and is packed with inspirational and helpful features to satisfy your curiousity,Our Sunday Visitor Inc,https://images-na.ssl-images-amazon.com/images/I/51U-YKHa9VL.jpg
B00007KZXF,Cooking Food Wine, Cooking Food Wine Wine Cocktails,Pipes and Tobaccos is a quarterly publication dedicated to the celebration of pipe collecting tobacco and all things related to the hobby of pipe smoking It contains stories on growing and blending tobacco pipemakers collectors and celebrity pipe smokers as well as a variety of helpful hints ,Speccomm Intl Inc,https://images-na.ssl-images-amazon.com/images/I/51aGpF44uNL.jpg
B00007LMOH,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Economics Economic Theory,Offers advice and information for those living in cottages ,Cottage Life Media Inc,https://images-na.ssl-images-amazon.com/images/I/61POdlJcdRL.jpg
B00007LO9Z,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure,Rabbit Hunter is filled with stories and articles on beagles bassets rabbit hunting training breeding and health tips Designed with the novice expert and spectator in mind ,C H Publishing,https://images-na.ssl-images-amazon.com/images/I/518v0curkWL.jpg
B00007LN7R,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,The preeminent journal of foreign policy and international affairs has provided government and business leaders students and the general public with insightful thought provoking analysis on world events for over 80 years Before it becomes policy its in Foreign Affairs ,Council on Foreign Relations,https://images-na.ssl-images-amazon.com/images/I/51lSKyyxuML.jpg
B00007LOA1,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure,Each issue of Racer X is filled with incredible photos in depth race coverage leading edge design humor and the ultimate insider s knowledge of the motocross and supercross world Racer X Illustrated its the magazine the other motocross publications are trying to follow ,Filter Publications,https://images-na.ssl-images-amazon.com/images/I/61UlbuActxL.jpg
B00007LMDA,Professional Educational Journals, Professional Educational Journals Professional Trade Science Technology Biological Natural Sciences,Dedicated to retail florists and designers nationally the only publication to publish original floral designs by Canadian designers ,Strider Media,https://images-na.ssl-images-amazon.com/images/I/51q2mQ1fstL.jpg
B00007M2YC,Pets Animals, Pets Animals,Just Labs is the canine magazine devoted to the family Labrador Retriever whether black yellow or chocolate Every issue includes stories about Labs and their owners pictorials and articles on health training dog accessories and equipment ,Village Press,https://images-na.ssl-images-amazon.com/images/I/515V0M1ZTVL.jpg
B00007M36S,Home Garden, Home Garden Antiques Collectibles,Devoted to all aspects of orders medals and decorations campaign and military history lifesaving and bravery awards ,Token Publishing Ltd,https://images-na.ssl-images-amazon.com/images/I/51ZGVEWWV8L.jpg
B000085A6U,Entertainment Pop Culture, Entertainment Pop Culture Pop Culture,For the record Mental Floss magazine is an intelligent read but not too intelligent Were the sort of intelligent that you hang out with for a while enjoy our company laugh a little smile a lot and then we part ways Great times And you only realize how much you learned from us after a little while Like a couple days later when youre impressing your friends with all these intriguing facts and things you picked up from us and they ask you how you know so much and you think back on that great afternoon you spent with us and you smile ,The Week Publications,https://images-na.ssl-images-amazon.com/images/I/617Gr3FOHbL.jpg
B000087KZS,Womens Interest, Womens Interest Self-Improvement,Womans Own is packed full of information for women including real life stories soap news and tips and advice on everything from health and home to beauty fashion cookery and nutrition ,Time Inc UK Ltd,https://images-na.ssl-images-amazon.com/images/I/61-iUcrihnL.jpg
B000088UN1,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,The oldest in the Grand View Media Groups stable Whitetail Journal has maintained its tradition of solid useful information about Americas favorite game animal while staying fresh and current with the needs and wants of the whitetail hunting public ,Grand View Media Group,https://images-na.ssl-images-amazon.com/images/I/61M6wr%2B4waL.jpg
B000088UMG,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,Predator Xtremes target audience consists of predator and varmint hunters and hunters interested in technical information about guns and habitat This magazine is for the hunter interested in all aspects of the sport ,Cole Publishing Inc,https://images-na.ssl-images-amazon.com/images/I/51ZYZFK9P6L.jpg
B000089G4H,Travel City Regional, Travel City Regional United States Northeast,New Yorks hottest places to fish and hunt this year ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/61QT5TukHwL.jpg
B000089G3U,Travel City Regional, Travel City Regional United States Midwest,The latest strategies and local hotspots for Hoosier outdoorsmen ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/51P5ntX2DSL.jpg
B000089G3S,Travel City Regional, Travel City Regional United States Midwest,Where to find Illinois favorite fishing and hunting destinations ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/619c4J9UDjL.jpg
B000089G4I,Travel City Regional, Travel City Regional United States South,The one stop information source for North Carolina anglers and hunters ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/611AFIlbjrL.jpg
B000089G58,Travel City Regional, Travel City Regional United States South,Your ticket to West Virginias hunting and fishing hotspots ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/61KDS3xjRvL.jpg
B000089G4L,Travel City Regional, Travel City Regional United States West,The one stop information source for Oklahomas anglers and hunters ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/51qYujWnbhL.jpg
B000089G4T,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Equestrian,This leading English riding magazine serves equestrians of all disciplines with how to and training advice as well as articles on horse grooming and health care Practical Horseman also provides information about events and competitions and how to prepare for them ,Active Interest Media,https://images-na.ssl-images-amazon.com/images/I/51u4E9gFZwL.jpg
B000089G4V,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,A sportsmans guide to the best hunting and fishing in Colorado Arizona New Mexico Utah Nevada Montana Wyoming and Idaho ,Outdoor Sportsman Group - Integrated Media,https://images-na.ssl-images-amazon.com/images/I/61iuciQlkBL.jpg
B00008CGWO,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Flying,Aviation History Offers the most comprehensive authoritative and in depth coverage of the history of world aviation and manned flight from its origins to the advent of the Space Age Action packed stories and vivid illustrations put readers in the cockpit to experience aviations greatest dramas ,History Net,https://images-na.ssl-images-amazon.com/images/I/51xOj2dzjXL.jpg
B00008CQIB,Travel City Regional, Travel City Regional,A bi monthly magazine of Russian culture history travel cuisine and life Colorfully illustrated Refreshingly honest ,Russian Information Services,https://images-na.ssl-images-amazon.com/images/I/51coYjrAM3L.jpg
B00008DGR0,Travel City Regional, Travel City Regional United States Midwest,Ohio Magazine is savvy dynamic and proud just like its readers Each issue explores the people places and trends that define Ohios unique character and style We tell you whos who whats what and where to find the best things in Ohio life ,Great Lakes Publishing,https://images-na.ssl-images-amazon.com/images/I/61GCXHYE96L.jpg
B00008DP07,Science History Nature, Science History Nature Essays Commentary,Since 1845 Scientific American has been educating and delighting readers with in depth coverage on a broad range of scientific topics Every month government leaders c suite executives investors students and informed citizens from all professions depend on Scientific American for reporting on advances that impact the economy and careers financial markets global health and the environment Scientific American subscriptions include 12 print and 12 digital issues (Tablet Edition for iPad downloadable PDFs and browser based access to gated content on ScientificAmerican com) ,Scientific American,https://images-na.ssl-images-amazon.com/images/I/51Up9ynaFmL.jpg
B00008GT1Z,Travel City Regional, Travel City Regional United States Northeast,This magazine is edited for those interested in critical examination of news style contemporary ideas and trends It regularly deals with politics business literature the fine arts entertainment home furnishings food wine and fashion ,New York Magazine,https://images-na.ssl-images-amazon.com/images/I/51NbOrY9C5L.jpg
B00008GT3F,Literary Sci-Fi Mystery, Literary Sci-Fi Mystery Literary Magazines Journals,Join thousands of successful writers when you subscribe Each month Writer magazine is full of features you can use to improve your writing including before and after examples of improved writing more literary markets than ever before practical solutions for writing problems and hands on advise ,Madavor Media Llc,https://images-na.ssl-images-amazon.com/images/I/51K9R4T004L.jpg
B00008GT11,Home Garden, Home Garden Gardening Horticulture,Authoritative articles by and about expert gardeners as well as practical advice photography and useful information for both the novice and expert gardener ,FW Publications,https://images-na.ssl-images-amazon.com/images/I/516ePKVA3bL.jpg
B00008GT0S,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51617TSNHTL.jpg
B00008GT1F,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Flying,The Independent Voice for Homebuilt Aviation is the premier publication for people interested in building flying designing and maintaining their own amateur built category manned aircraft It includes builder and flight reports new products and developments engines readers completed aircraft avionics accessories annual directories and more ,Belvoir Publications Inc.,https://images-na.ssl-images-amazon.com/images/I/51C29L7CizL.jpg
B00008JO2K,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Military Science,Presents how to information on the restoration and operation of historic military vehicles Also includes information on museum visits rally reports events and ads ,F W Publications,https://images-na.ssl-images-amazon.com/images/I/51MWygT2QVL.jpg
B00008KFZF,Literary Sci-Fi Mystery, Literary Sci-Fi Mystery Science Fiction Fantasy Fantasy,The foremost source on all science fiction entertainment from movies and TV to online services games books and more Provides exclusive coverage of SCI FI Channel programming as well as information on the latest blockbuster SCI FI films and television shows ,USA Network,https://images-na.ssl-images-amazon.com/images/I/61P0Mo1Ie%2BL.jpg
B00008KFZH,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,About the outdoors hunting fishing camping boating and biking The emphasis is on different aspects of the outdoors and wildlife environment Published ten times a year ,Field Sports Publishing,https://images-na.ssl-images-amazon.com/images/I/613%2BWc9uJcL.jpg
B00008NF8I,News Political Commentary, News Political Commentary Regional,The Guardian Weekly gives you a comprehensive round up of news features and analysis from four of the worlds best newspapers the Guardian the Observer Le monde and The Washingon Post An unrivalled digest of weekly news and comment ,Guardian,https://images-na.ssl-images-amazon.com/images/I/61XY9F4D9VL.jpg
B00008RUJP,Home Garden, Home Garden Design Decoration,Visit the worlds most fascinating interiors and view the work of leading designers in stunningly beautiful pages filled with the latest and best home furnishings table settings garden ideas and cuisine ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/51eiUf%2BoNqL.jpg
B00008WMD1,Entertainment Pop Culture, Entertainment Pop Culture Puzzles Games,Challenging crosswords edited by renowned puzzle editor Charles Preston ,Kappa Publishing Group,https://images-na.ssl-images-amazon.com/images/I/61VneIBUGRL.jpg
B00008YDQS,Travel City Regional, Travel City Regional United States,A quarterly colorful magazine dedicated to celebrating Americas two lane highways Features stories of old cafes and small towns Also includes interviews with highway preservationists and road legends Contains the best information for road travel reading ,American Road/Mock Turtle Pr,https://images-na.ssl-images-amazon.com/images/I/51icIBhi--L.jpg
B00008Z9VY,Professional Educational Journals, Professional Educational Journals Professional Trade Arts Photography,French magazine of the Fantastic Covers interviews with people such as Eric Valette and Larry Cohen movie critiques photos trailers of upcoming movies such as Hulk and X Men 2 the latest news bigger and louder and more ,Custom Publishing France,https://images-na.ssl-images-amazon.com/images/I/51BADZ53T0L.jpg
B0000936CQ,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Religion Spirituality,RELEVANT is a bimonthly lifestyle magazine for twentysomethings covering life culture and spiritual issues Its unique perspective pushes boundaries asks questions spots trends challenges worldviews and helps you pursue God in everyday life,Relevant Media Group,https://images-na.ssl-images-amazon.com/images/I/515NTESl7wL.jpg
B00009MGE5,Health Fitness Wellness, Health Fitness Wellness Health,Provides a comprehensive and reliable source of information about arthritis research care and treatment helping the nearly 43 million Americans take control of their arthritis or related condition ,Pro Circ,https://images-na.ssl-images-amazon.com/images/I/51VVNKKDX9L.jpg
B00009MQ5Q,Automotive Motorcycles, Automotive Motorcycles Automotive,Magazine about Porsche cars ,Ross Periodicals Inc,https://images-na.ssl-images-amazon.com/images/I/51c4azvglML.jpg
B00009MQ5T,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Extreme Sports,Forza magazine is designed for Ferrari automobile owners and enthusiasts Issues include track reports reviews current news renovation information photographs and articles on the history of Ferraris ,Ross Periodicals Inc,https://images-na.ssl-images-amazon.com/images/I/51UVgs1k2qL.jpg
B00009MQ5C,Automotive Motorcycles, Automotive Motorcycles Automotive,Corvette Magazine contains news and features about new and classic Corvettes along with technical articles maintenance and remodeling tips photographs road tests product information market reports and more ,Ross Periodicals Inc,https://images-na.ssl-images-amazon.com/images/I/51lmBZCHafL.jpg
B00009R5PH,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Sociology,BUST is a groundbreaking independently run womens lifestyle magazine that connects with bright cutting edge young women Fierce funny and proud to be female its revolutionary editorial mix addresses a variety of womens interests including pop culture crafting music fashion sex news and celebrity interviews ,Bust,https://images-na.ssl-images-amazon.com/images/I/516ySeT-0nL.jpg
B00009VPDT,Professional Educational Journals, Professional Educational Journals Professional Trade Entertainment Media,With full coverage of both daily activities and Hollywood s most glamourous events In Touch weekly is a go to source for the latest celebrity news and the perfect entertainment for your waiting room guests! Take advantage of our low price and order your subscription today!,American Media Inc,https://images-na.ssl-images-amazon.com/images/I/519KnBXdRkL.jpg
B00009YEVD,Children Teen, Children Teen,Published by the National Association for the Education of Young Children YC contains peer reviewed articles that spread awareness of the professions best practices Issues are organized around topical clusters that devote special attention to topics in the field of early childhood education ,Natl Assn Educ Young Children,https://images-na.ssl-images-amazon.com/images/I/51Bc8HBM6EL.jpg
B00009YETQ,Health Fitness Wellness, Health Fitness Wellness Health,Experience Life will inspire you to achieve the goals youve set for yourself This magazine will coach you on making the most of your body your energy your choices and your time Itll help you see firsthand how better health and fitness can contribute to a happier more balanced life and vice versa br br Experience Life covers the cutting edge side of fitness nutrition and wellness and helps you discover the joy of new active adventures It gives you the heads up about truly worthy products from healthy foods and fitness gear to natural health and beauty products But it also focuses on the common sense essentials the nuts and bolts information that can be easy to overlook in the midst of diet crazes and fitness fads competing for attention br br The magazines mantra is Being Healthy Is a Revolutionary Act It is a whole person magazine with personality and integrity guts and soul and the best healthy living magazine youve probably never heard of Until now br br ,Life Time,https://images-na.ssl-images-amazon.com/images/I/517YrSAiTDL.jpg
B0000A0O0G,Children Teen, Children Teen Children By Age Ages 9-12,OWL is loaded with fascinating articles and amazing facts for 9 to 13 yr olds Each issue includes science behind how things work quizzes contests and topics on everyday life With breaking news stories and mind boggling puzzles its a thought provoking entertaining place for kids to grow ,Owlkids,https://images-na.ssl-images-amazon.com/images/I/518GLGONeTL.jpg
B0000A8YW4,Arts Music Photography, Arts Music Photography Art Art History,WATERCOLOR ARTIST is the definitive source of how to instruction and creative inspiration for artists working in water based media Packed with page after gorgeous page of illustrations demonstrating tried and true techniques inspirational ideas and the most up to date information about must have painting tools and materials watercolorists find everything they need in WATERCOLOR ARTIST to help them create stunning art from start to finish Each bi monthly issue also includes special reports on timely topics in the art world as well as easy to apply tips from the foremost experts in the field ,FW Publications,https://images-na.ssl-images-amazon.com/images/I/61A0E91aSOL.jpg
B0000AJMEI,Arts Music Photography, Arts Music Photography Music,Interviews with In This Moment Motionless in White Incantation GWAR Enslaved Satyricon Ne Obliviscaris Act of Defiance Thousand Below With the Dead Exhumed Cannabis Corpse Across the Atlantic Nocturnal Rites and Fleshkiller ,Outburn,https://images-na.ssl-images-amazon.com/images/I/61X3AMDB9NL.jpg
B0000AJLX9,Literary Sci-Fi Mystery, Literary Sci-Fi Mystery Literary Magazines Journals,Would you read over 500 book reviews a month? The staff at iBookmarks i do and we distill the results into each issue of the magazine Our readers enjoy summaries of hundreds of opinions from every major newspaper and magazine for a comprehensive look at the latest fiction nonfiction and childrens books ,Phillips Nelson Media Inc,https://images-na.ssl-images-amazon.com/images/I/61WRS11TNXL.jpg
B0000AJLSR,Home Garden, Home Garden Design Decoration,Our Fabulous Finishes issue is here and it s our BIGGEST issue yet Our 25th Anniversary special edition issue is packed with over 80 pages of exclusive content Get inspired with our texture textiles and more showcase a stunning collection of textural cake designs that are sure to get you in the,Aim Communications Llc,https://images-na.ssl-images-amazon.com/images/I/51Q0PJ6AkQL.jpg
B0000AN46X,Pets Animals, Pets Animals,Modern Dog is the lifestyle magazine for urban dogs and their companions The glossy high end magazine features expert advice dog friendly travel destinations full fashion spreads the latest accessories for your pooch and whats new in the doggie world ,Modern Dog Inc,https://images-na.ssl-images-amazon.com/images/I/51ZQcJpKtEL.jpg
B0000AN43S,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Boating,Learn about offshore voyaging navigation meteorology heavy weather sailing maintenance repairs and how to upgrade your boats equipment Plus join a community of passionate mariners and gain insights from experienced voyagers who have been around the world and pole to pole You will also receive a free copy of Ocean Voyager the annual guide to offshore sailing and navigation ,Navigator Publishing LLC,https://images-na.ssl-images-amazon.com/images/I/614QV6APJVL.jpg
B0000ARXXS,Cooking Food Wine, Cooking Food Wine Recipes Techniques,no description,no brand,https://images-na.ssl-images-amazon.com/images/I/51esR%2BqPBdL.jpg
B0000ARZRA,Automotive Motorcycles, Automotive Motorcycles Automotive,An excellent magazine for students and educators in the field of automotive technology Includes editorial from various industry leading automotive aftermarket publications ,Babcox Media Inc,https://images-na.ssl-images-amazon.com/images/I/51lpg2gMNyL.jpg
B0000AWD92,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Basketball,Sports Illustrated brings you spectacular action photography and in depth coverage With Sports Illustrated you get into it!,Meredith Corporation,https://images-na.ssl-images-amazon.com/images/I/51B4dOlVZaL.jpg
B0000B0P0D,Business Investing, Business Investing International,IdN magazine is an international publication for creative people on a mission to amplify and unify the design community in Asia Pacific and other parts of the world It is devoted to bringing designers from around the globe together to communicate with learn from and inspire one another ,Systems Design Ltd,https://images-na.ssl-images-amazon.com/images/I/61Gtk7IkeUL.jpg
B0000B0NVQ,Newsletters, Newsletters,Best Sweepstakes Newsletter lists entry instructions for over 50 sweepstakes and contests each month that are sponsored by large consumer companies ,Best Publications,https://images-na.ssl-images-amazon.com/images/I/51H0VKD57KL.jpg
B0000B0Q4P,Professional Educational Journals, Professional Educational Journals Professional Trade Arts Photography,A lively and refreshing magazine from the UK targeted at photography enthusiasts throughout the world Devoted to inspiring informing entertaining and instructing anyone interested in photography ,Archant Specialists,https://images-na.ssl-images-amazon.com/images/I/61Mv-zMZJjL.jpg
B0000C4CTK,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Boating,Good Old Boat Magazine is about Creating a community of sailors Offering a resource by pooling the knowledge of our readers Keeping our boats afloat with technical articles focusing on maintenance and upgrades Celebrating older model sailboats emphasizing pride in ownership ,Good Old Boat Inc,https://images-na.ssl-images-amazon.com/images/I/51V9Q08R1rL.jpg
B0000C4CU9,Professional Educational Journals, Professional Educational Journals Professional Trade Engineering,Contains state of the art review and applications articles chosen for their utility to a range of engineers and scientists in the electrical and electronics field ,Ieee,https://images-na.ssl-images-amazon.com/images/I/41hF2TK92IL.jpg
B0000C4CYO,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Skiing Snowboarding,Broad coverage of nordic skiing Includes local touring centres and exotic backcountry hide a ways comprehensive Annual North American Buyers Guide complete competition coverage product reviews training technique telemark masters and waxing tips extensive calendar of events ,Skitrax Magazine,https://images-na.ssl-images-amazon.com/images/I/51CRjDJswHL.jpg
B0000CCY7X,Professional Educational Journals, Professional Educational Journals Professional Trade Science Technology Biological Natural Sciences,Alabamas own guide to great gardening and landscaping ,State By State Gardening,https://images-na.ssl-images-amazon.com/images/I/61EYyVJls9L.jpg
B0000CCY9P,Health Fitness Wellness, Health Fitness Wellness Women,Billed as Your Ultimate Prescription for the Perfect Body Fitness Rx takes a scientific approach to womens health and fitness offering tips and information on diet nutrition exercise supplements cosmetic enhancement and sexual enhancement ,Advanced Research Media,https://images-na.ssl-images-amazon.com/images/I/51A0aSLbYvL.jpg
